id,client_name,client_address,billing_to,service_type,bill_description,ticket_id,created_date,emailed,comments,invoice_no,invoice_date
1,CIC Toronto,"155-2960 Drew Road,
Malton, Mississauga,ON L4T 0A5",,,Outlook & Storage Issue ($75.00/-),#21368,11/26/2024,Yes,,,
2,Supreme Wire Products Ltd.,"20 Newkirk Court, Unit 11, Brampton,
ON L6Z 0B5, Ontario",,,Troubleshooting & Assigned new Licenses to 8 email addresses.,#21320,11/25/2024,Yes,,,
3,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"2 RDP + 2 Email + 2 DUO 
User:
- Aditya Goria
- Karandeep Singh",#21265,11/25/2024,Yes,,,
4,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 Laptop - Asif'`s Team
Lenovo ThinkPad T480s
i7-8650U CPU RAM 16.0 GB HDD 250 GB NVMe
Serial Number : PC19DLEY",#21265,11/25/2024,Yes,,,
5,A Spec Precision,"6740 Davand Dr #2, Mississauga, ON L5T 2K9",,,"New Laptop, Data Migration , Email Migration & Data Transfer.
Laptop Details:-
Lenovo ThinkPad T480s
Serial Number PC15541J
i7-8650U CPU @ 1.90GHz, 2112 Mhz, 4 Core(s) 
RAM 16.0 GB HDD 512 GB NVMe",#20818,11/20/2024,Inv Created,,,
6,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 Qty - Dell Laptop Latitude 5480 
S/N# 3KT0X2 
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

Username: dig\kulvir",#21155,11/20/2024,HandS Yes,,,
7,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 Qty - Dell Laptop Latitude 7480 
S/N# GFKGPQ2 
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

New RDP + New Email + New DUO
Username: dig\irvinder",#21011,11/15/2024,HandS Yes,,,
8,Hi-End Diesel Truck Repair Inc.,"1123 Lorimar Dr, Mississauga, ON L5S 1M5",,,"Brother Printer Issue - Resolved Reception Desk
Model L5700DW Series",#20978,11/13/2024,HandS Yes,,,
9,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"New RDP + Email + DUO
Username: 
dig\kulvir",#20850,11/11/2024,HandS Yes,,,
10,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 Qty - Dell Laptop Latitude 7480 
S/N# 5B6M1N2
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

New RDPs + New Email + New DUO
Username: 
dig\mamoon
",#20771,11/6/2024,HandS Yes,,,
11,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",,,Cisco Switch 48 Port Installed. Serial Number :- FOC1902Z1QT,#20781,11/5/2024,Yes,,,
12,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 Qty - Dell Laptop Latitude 7480 S/N# 3QR4QQ2
1 Qty - Dell Laptop Latitude 7470 S/N# 4XB80G2

Configuration:-
i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB",#20646,11/1/2024,Yes,Invoice to Diamond Insurance,,
13,Haulage North America,"473032 Dufferin County Rd 11 ,
Orangeville ON L9W 2Y9",,,"2 New VOIP Extensions setup:-
202 & 203 - INDIA",#20731,11/4/2024,Yes,,,
14,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
Brampton, ON L6W 3K7
905-230-0700",,,Data Backup to External HDD,#20549,11/4/2024,Yes,,,
15,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"2 New RDPs + 2 Emails + 2 DUOs
Username: 
dig\sirat 
dig\manisha
",#20646,11/1/2024,Yes,,,
16,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"2 New RDPs + 2 Emails + 2 DUOs 
Username: 
dig\amitesh 
dig\gurmeet1",#20626,10/31/2024,Yes,,,
17,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"New Dell Laptop - User: Amitesh
SerialNumber : 6JVCRV2
System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU
Installed Physical Memory (RAM) 16.0 GB
",#20615,10/30/2024,Yes,"Send Invoice to 
“Diamond Insurance
",,
