id,client_name,client_address,billing_to,service_type,bill_description,ticket_id,created_date,emailed,comments,invoice_no,invoice_date
1,CIC Toronto,"155-2960 Drew Road,
Malton, Mississauga,ON L4T 0A5",,IT Services,Outlook & Storage Issue ($75.00/-),#21368,2024-11-26,Yes,,,
2,Supreme Wire Products Ltd.,"20 Newkirk Court, Unit 11, Brampton,
ON L6Z 0B5, Ontario",,IT Services,Troubleshooting & Assigned new Licenses to 8 email addresses.,#21320,2024-11-25,Yes,,,
3,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"2 RDP + 2 Email + 2 DUO 
User:
- Aditya Goria
- Karandeep Singh",#21265,2024-11-25,Yes,,,
4,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 Laptop - Asif'`s Team
Lenovo ThinkPad T480s
i7-8650U CPU RAM 16.0 GB HDD 250 GB NVMe
Serial Number : PC19DLEY",#21265,2024-11-25,Yes,,,
5,A Spec Precision,"6740 Davand Dr #2, Mississauga, ON L5T 2K9",,IT Services,"New Laptop, Data Migration , Email Migration & Data Transfer.
Laptop Details:-
Lenovo ThinkPad T480s
Serial Number PC15541J
i7-8650U CPU @ 1.90GHz, 2112 Mhz, 4 Core(s) 
RAM 16.0 GB HDD 512 GB NVMe",#20818,2024-11-20,Inv Created,,,
6,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 Qty - Dell Laptop Latitude 5480 
S/N# 3KT0X2 
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

Username: dig\kulvir",#21155,2024-11-20,HandS Yes,,,
7,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 Qty - Dell Laptop Latitude 7480 
S/N# GFKGPQ2 
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

New RDP + New Email + New DUO
Username: dig\irvinder",#21011,2024-11-15,HandS Yes,,,
8,Hi-End Diesel Truck Repair Inc.,"1123 Lorimar Dr, Mississauga, ON L5S 1M5",,IT Services,"Brother Printer Issue - Resolved Reception Desk
Model L5700DW Series",#20978,2024-11-13,HandS Yes,,,
9,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"New RDP + Email + DUO
Username: 
dig\kulvir",#20850,2024-11-11,HandS Yes,,,
10,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 Qty - Dell Laptop Latitude 7480 
S/N# 5B6M1N2
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

New RDPs + New Email + New DUO
Username: 
dig\mamoon
",#20771,2024-11-06,HandS Yes,,,
11,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",,IT Services,Cisco Switch 48 Port Installed. Serial Number :- FOC1902Z1QT,#20781,2024-11-05,Yes,,,
12,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 Qty - Dell Laptop Latitude 7480 S/N# 3QR4QQ2
1 Qty - Dell Laptop Latitude 7470 S/N# 4XB80G2

Configuration:-
i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB",#20646,2024-11-01,Yes,Invoice to Diamond Insurance,,
13,Haulage North America,"473032 Dufferin County Rd 11 ,
Orangeville ON L9W 2Y9",,IT Services,"2 New VOIP Extensions setup:-
202 & 203 - INDIA",#20731,2024-11-04,Yes,,,
14,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
Brampton, ON L6W 3K7
905-230-0700",,IT Services,Data Backup to External HDD,#20549,2024-11-04,Yes,,,
15,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"2 New RDPs + 2 Emails + 2 DUOs
Username: 
dig\sirat 
dig\manisha
",#20646,2024-11-01,Yes,,,
16,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"2 New RDPs + 2 Emails + 2 DUOs 
Username: 
dig\amitesh 
dig\gurmeet1",#20626,2024-10-31,Yes,,,
17,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"New Dell Laptop - User: Amitesh
SerialNumber : 6JVCRV2
System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU
Installed Physical Memory (RAM) 16.0 GB
",#20615,2024-10-30,Yes,"Send Invoice to 
“Diamond Insurance
",,
18,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"Hardware Installed
1 (qty) - Cisco Switch 24 Port 
10 Patch Cables
3 (qty) - Dell LCD S2725H
S/N#
- 29THK04
- H8THK04
- H7THK04
5 (qty) - Dell Optiplex CPUs = i5 6th Gen 16 GB RAM 512 GB SSD
S/N#
- HV1QZV2
- 89KPCP2
- HV1RZV2
- HV0NZV2
- HV1NZV2",#20553,2024-10-29,Yes,"Send Invoice to Ravi Grewal
“2078359 Ontario Inc.
",,
19,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\sahil1
C1Node99",#20297,2024-10-22,Yes,,,
20,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"New Laptop - dig\sahil1

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : DD3CYY2",#20297,2024-10-22,Yes,"Send Invoice to jas@dig.insure
Jasmeet Singh",,
21,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,IT Services,New RDP + DUO + QB = Nitin,#20395,2024-10-22,Yes,,,
22,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New Domain &Email created : Referencechecks@hnagroup.ca,#20272,2024-10-22,Yes,,,
23,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"Caledon insurance company (2days - 6 hrs). 

Pickup material from office. 
Find path for cable pull. 
Pulled 12 cables to designated location. 
Dressed the cable. 
Terminated both side and provided surface mount box.",#20296,2024-10-18,Yes,,,
24,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,IT Services,"Gracious (1 day - 8 hrs.)

Pulled cable for 2 camera’s in warehouse and 2 in office’s.
Terminated the cables.
Mounted the cameras on the wall.
Replaced the switch from first floor to reception.
Moved the punch clock machine from warehouse to reception.
Found the port for 2 camera’s in the warehouse house and connected it.
Fixed Anjali printer not working the port is loose.",#20293,2024-10-18,Yes,,,
25,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"Orangeville (1day - 8 hrs.)

Pulled 3 cables from the server room to office and 2*lunch room.
Fished the cable down the wall.
Terminated with jacks and face plate with caddy.
Removed all the rj45 jacks and terminated with keystone jacks.
Created 6 patch to extend the cable and connect the switch to the router.
Mounted all the devices back onto the newly provided rack.
Replaced the patch cables with newly provided short patch cables.",#20292,2024-10-18,Yes,,,
26,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New email rockwool@haulagenorthamerica.com,#20283,2024-10-18,Yes,,,
27,Sanjay Sharma,Smart Immigration,,IT Services,"Cabling job done by Ankit.

Smart immigration (1 day - 7 hrs.)

Toned and tested all the cables in main office.
Label all place and created a map for the same floor.
Removed the unwanted switches.
Traced the cable going from main office 204 to 207.
Reconnected the cable and made sure all devices in 204 and 207 worked before leaving.",#20295,2024-10-18,Yes,,,
28,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New VOIP Ext 202 created for India - Kundan,#20233,2024-10-16,Yes,,,
29,Supreme Wire Products Ltd.,"20 Newkirk Ct Unit 11,
Brampton, ON L6Z 0J8",,IT Services,Windows 10 Installed and Data transferred,#19841,2024-10-16,Yes,,,
30,CIC Toronto,"155-2960 Drew Road, 
Malton, Mississauga,ON L4T 0A5",,IT Services,"1 Display to VGA converter And 1 New CPU details:-
Serial Number : 702HZV2
16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s).",#20214,2024-10-15,Yes,,,
31,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + DUO + Email
Username: dig\mohammad1
C1Node98",#20112,2024-10-11,Yes,,,
32,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + DUO + Email
Username: dig\khushwinder
C1Node97",#20077,2024-10-10,Yes,,,
33,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,2 Yealink power adapters collected by Dupinderpal Bhuttar,#20132,2024-10-09,Yes,,,
34,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + DUO
Username: dig\manpreet1
C1Node96",#20016,2024-10-08,Yes,,,
35,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"1 Server + 5 RDPs + 5 DUO for Haulage India
Haulage SVR!
HNA1
HNA2
HNA3
HNA4
HNA5",#20925,2024-10-08,,,,
36,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New email Support@haulagenorthamerica.com,#20014,2024-10-07,Yes,,,
37,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\naveed
C1Node94",#19955,2024-10-04,Yes,,,
38,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP +DUO Only (Email was created earlier)
Username: dig\sandeep
C1Node95",#19338,2024-10-04,Yes,,,
39,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"Dell New Laptop - Harkaran Singh

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : 837DYY2",#19875,2024-10-02,Yes,"Invoice to be sent to Shahroz email
1000991334 Ontario Inc.
","CC detais:-
4520880064210048
exp : 11/24 CVC: 524
Address: 500Alden Road,
unit#210 Markham, ON, 
L3R 5H5",
40,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"Dell New Laptop - Harkaran Singh

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : G2HBYY2",#19880,2024-10-02,Yes,"Invoice to be sent to Shahroz email
1000991334 Ontario Inc.
",,
41,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
Brampton, ON L6W 3K7
905-230-0700",,IT Services,"Canon Imagerunner2525 Network Printer setup. ( 1 hr. $100 + 13% = $113)
Installation done on 3 PCs.
PC Name: DESKTOP-5Q18MTA
PC Name: DESKTOP-UF2PJUR
PC Name: DESKTOP-DA8HHVJ",#19905,2024-10-02,Yes,,,
42,Gracious Lighting & Home Furnishing,"101 Devon Road, Brampton L6T5A4",,IT Services,3 Server HDD of capacity 600GB each Installed,#18220,2024-09-26,Yes,,,
43,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",,IT Services,"1 New Email:
Email ID: greg.robitaille@Metrox.ca",#19731,2024-09-26,Yes,,,
44,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"New Laptop - Ravinder Singh

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : 5B6M1N2",#19651,2024-09-25,Yes,,,
45,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\ravinder
C1Node93",#19651,2024-09-24,Yes,,,
46,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\amandeep
C1Node92",#19522,2024-09-24,Yes,,,
47,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"New Yealink T53 = 4 Qty
Serial Number 
301086G041006453 
301086G041006441 
301086G041009418 
301086G041009439",#19682,2024-09-24,Yes,,,
48,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"2 New Emails created .
*Upload@dig.insure
*Endorsement@dig.insure",#19576,2024-09-23,Yes,,,
